model_family,model_variant,model_input_shape,device,onnx_file_size_mb,onnx_load_duration_ms,onnx_gpu_load_memory_mb,onnx_gflops,onnx_mparams
efficientnet,efficientnet_b0,"(1, 3, 224, 224)",NVIDIA A2,20.164673805236816,321.0100969299674,101.125,0.415145024,5.288548
efficientnet,efficientnet_b1,"(1, 3, 240, 240)",NVIDIA A2,29.715027809143066,290.56539107114077,103.125,0.734485616,7.794184
efficientnet,efficientnet_b2,"(1, 3, 260, 260)",NVIDIA A2,34.72391605377197,338.7191444635391,135.125,1.05422816,9.109994
efficientnet,efficientnet_b3,"(1, 3, 300, 300)",NVIDIA A2,46.61398696899414,360.78961472958326,133.125,1.9315448,12.233232
efficientnet,efficientnet_b4,"(1, 3, 380, 380)",NVIDIA A2,73.6846981048584,411.0184693709016,199.125,4.61144284,19.341616
efficientnet,efficientnet_b5,"(1, 3, 456, 456)",NVIDIA A2,115.76971435546875,369.74840704351664,197.125,10.702745216,30.389784
efficientnet,efficientnet_b6,"(1, 3, 528, 528)",NVIDIA A2,163.95728397369385,518.7207106500864,327.125,19.806794536,43.040704
efficientnet,efficientnet_b7,"(1, 3, 600, 600)",NVIDIA A2,252.74651527404785,540.95627553761,583.125,39.029240928,66.34796
shufflenet,shufflenet_v2_x0_5,"(1, 3, 224, 224)",NVIDIA A2,5.258134841918945,266.5177546441555,77.125,0.044572064,1.366792
shufflenet,shufflenet_v2_x1_0,"(1, 3, 224, 224)",NVIDIA A2,8.7208251953125,317.68433563411236,85.125,0.152708792,2.278604
shufflenet,shufflenet_v2_x1_5,"(1, 3, 224, 224)",NVIDIA A2,13.380147933959961,322.79080990701914,101.125,0.306829472,3.503624
shufflenet,shufflenet_v2_x2_0,"(1, 3, 224, 224)",NVIDIA A2,28.201148986816406,330.2781954407692,135.125,0.598229432,7.393996
resnet,resnet18,"(1, 3, 224, 224)",NVIDIA A2,44.5828914642334,339.17065896093845,197.125,1.824033792,11.689512
resnet,resnet34,"(1, 3, 224, 224)",NVIDIA A2,83.13566207885742,384.72951110452414,199.125,3.678739456,21.797672
resnet,resnet50,"(1, 3, 224, 224)",NVIDIA A2,97.41437149047852,427.0944418385625,207.125,4.133742592,25.557032
resnet,resnet101,"(1, 3, 224, 224)",NVIDIA A2,169.78708839416504,518.3604983612895,327.125,7.866435584,44.54916
resnet,resnet152,"(1, 3, 224, 224)",NVIDIA A2,229.39787673950195,517.9220512509346,325.125,11.603945472,60.192808
efficientnet,efficientnet_v2_s,"(1, 3, 224, 224)",NVIDIA A2,81.71264171600342,1161.2208187580109,197.125,2.901935168,21.458488
efficientnet,efficientnet_v2_m,"(1, 3, 224, 224)",NVIDIA A2,206.1833086013794,2369.221151806414,331.125,5.446492352,54.139356
efficientnet,efficientnet_v2_l,"(1, 3, 224, 224)",NVIDIA A2,451.42053031921387,4854.472905397415,585.125,12.379301696,118.515272
resnet,wide_resnet50_2,"(1, 3, 224, 224)",NVIDIA A2,262.66197681427,2854.682896286249,585.125,11.455725568,68.88324
resnet,wide_resnet101_2,"(1, 3, 224, 224)",NVIDIA A2,483.81792736053467,4992.2771183773875,1099.125,22.838050816,126.886696
convnext,convnext_tiny,"(1, 3, 224, 224)",NVIDIA A2,109.18279361724854,1451.0237844660878,325.125,4.46414976,28.579432
convnext,convnext_small,"(1, 3, 224, 224)",NVIDIA A2,191.82504844665527,2290.532766841352,327.125,8.69774976,50.20708
